Code,Libellé,population,Indic1,Indic3,Indic4,Indic5,Indic6,Indic7,Indic8,Indic9,Indic10,Indic11,Indic12,Indic13,Indic14,Indic15,Indic16,Indic17
11365,Saint-Sernin,44,6.28,25790,,106.7,33.3,,30.3,27.3,162,8.321666667,15,15,0,20,6.2,
11366,Sainte-Valière,539,83.88,349426,20610,92.5,4.1,0,22.5,24.9,118,3.486666667,3,15,10.2,11.3,14.3,5.24
11367,Saissac,939,16.11,622804,18450,93.1,12.3,35.7,25.3,30.1,151,7.615,3,15,5.2,13.7,15.7,17.36
11368,Sallèles-Cabardès,124,17.74,86658,19980,87.3,0,100,27.8,22.7,182,5.136666667,3,30,4.7,18.9,12.2,
11369,Sallèles-d'Aude,3 107,242.15,2680009,21290,92.1,11.4,32.2,24.6,26.1,88,3.1,3,7,4.7,17.5,16.5,6.18
11370,Salles-d'Aude,3 327,179.12,2161333,21960,93.2,5.7,36.8,26.7,21.1,135,3.945,3,7,6.1,9.4,13.7,3.76
11371,Salles-sur-l'Hers,739,37.03,628248,21370,93.1,6.2,46.3,23.4,28.8,92,12.445,3,30,4.4,9.1,14.2,6.1
11372,Salsigne,383,32.93,207254,17710,84.6,5.3,56.5,14.5,38.4,128,8.86,3,15,3,15.1,13.8,18.68
11373,Salvezines,70,3.43,116771,,87.5,25,,14.3,35.7,192,9.535,7,30,0,9.1,30.4,
11374,Salza,24,2.4,26411,,70,0,0,47.4,10.5,650,30.38833333,7,45,0,12.5,41.7,
11375,Seignalens,29,4.7,30619,,80,0,0,34.6,26.9,350,13.32,7,15,0,0,21.1,
11376,La Serpent,98,9.91,64588,,97.8,0,100,41.6,18.2,213,8.71,7,15,0,12.5,18.4,
11377,Serres,82,19.95,49781,,93.3,11.1,66.7,32.3,18.5,129,3.951666667,3,7,0,0,15.4,
11378,Serviès-en-Val,199,30.46,180118,20830,88,4.5,42.3,18.2,33.5,357,7.038333333,3,30,7.7,17.9,7,
11379,Sigean,5 687,156.78,4737140,20340,88.5,8.4,33.9,20.3,32,131,6.726666667,3,3,4.4,12.9,19.2,5.55
11380,Sonnac-sur-l'Hers,136,9.68,87943,20630,90,7.1,100,16.1,32.1,232,4.295,7,7,0,4.1,5.3,
11381,Sougraigne,129,6.73,83597,,93.8,7.7,0,47.5,19.2,111,5.015,7,15,19.7,0,28.6,06.06
11382,Souilhanels,413,131.99,217938,24860,99.2,9.5,14.3,29.1,31.7,84,9.226666667,7,7,6.9,16.4,10.3,
11383,Souilhe,340,79.29,189685,22540,103.9,4.1,54.5,21.8,21.4,63,8.135,3,15,10.8,19.6,6.7,
11384,Soulatgé,129,5.3,119847,11780,84.3,21.4,100,37.4,22.2,92,14.52,3,30,4.1,12.4,11.5,
11385,Soupex,239,31.75,139695,22900,97.6,4.6,0,27.1,31.9,146,6.583333333,3,15,8.4,15.4,5.7,
11386,Talairan,459,12.87,294943,18230,89.7,10.6,22.9,24.8,35.8,273,6.65,3,30,4,2.3,11.9,4.19
11387,Taurize,108,13.19,66880,,90,0,0,36.8,20,188,2.723333333,3,30,4.8,4.8,22.6,
11388,Termes,48,2.52,57590,,96.7,0,100,47.7,18.2,800,21.14333333,3,45,25,0,16,
11389,Terroles,15,2.26,12314,,180,0,100,28.6,42.9,600,12.58666667,15,15,0,0,16.7,
11390,Thézan-des-Corbières,570,21,381002,18940,92.3,3.8,33.3,21.8,37.6,170,7.356666667,3,15,2.1,15,21.2,
11391,La Tourette-Cabardès,25,4.77,16440,,86.7,0,,36.4,18.2,500,9.44,7,15,0,0,33.3,14.29
11392,Tournissan,277,23.24,179636,18780,95.7,0,23.8,21.4,29.5,180,4.18,3,30,4.4,12.1,22,2.94
11393,Tourouzelle,496,34.46,405962,19510,89.1,8.3,68.6,20,29.1,171,3.626666667,3,7,1.1,15.7,18.1,
11394,Tourreilles,133,20.67,92212,20660,96.7,8.3,0,27.6,29.5,170,14.535,7,15,0,22.9,14.5,
11395,Trassanel,27,6.45,19284,,86.7,0,,13,17.4,140,7.093333333,7,30,0,0,27.3,
11396,Trausse,614,55.89,417436,19010,87.7,9.3,42.6,19.4,30.9,140,3.261666667,3,7,3.8,10.6,20.2,4.38
11397,Trèbes,5 538,332.4,5951078,18930,83.4,12.7,43.7,18.8,34.2,127,7.186666667,3,3,4.2,8.3,19.2,16.89
11398,Treilles,259,20.53,679594,20000,95.9,8.3,23.8,27.4,22.3,115,3.765,3,30,4.5,11.7,18.6,19.05
11399,Tréville,113,19.89,65681,22290,97.8,11.1,0,20.5,25.3,95,12.90833333,3,15,5,10,16.4,
11400,Tréziers,103,16.38,62510,,94.5,18.2,,31.8,23.9,233,11.90666667,7,15,11.1,5.6,20.9,
11401,Tuchan,800,13.27,792524,18610,85.7,10.9,43.5,18.3,33.5,235,3.866666667,3,30,3.6,8.4,22,7.8
11402,Valmigère,25,04.04,14085,,86.7,0,,21.7,43.5,900,15.30833333,7,30,0,19.2,25,
11404,Ventenac-Cabardès,987,92.18,585500,22000,95.6,11,25,32.7,21.6,88,3.86,3,15,8.1,7.5,10.3,11.65
11405,Ventenac-en-Minervois,590,92.74,466025,21420,95.4,1.9,25.7,28.1,22.7,170,2.54,3,15,5.2,8.3,9.3,2.21
11406,Véraza,34,2.18,32253,,120,0,0,22.6,19.4,,9.213333333,15,15,0,0,14.3,
11407,Verdun-en-Lauragais,292,14.15,245793,22080,98.4,17.3,24.4,36.4,24.5,82,6.173333333,3,30,10.6,10.6,14.3,
11408,Verzeille,488,93.86,273924,21460,96.9,7.6,30,31.9,20,91,3.73,3,15,7.4,9.6,12.6,
11409,Vignevieille,108,6.28,86454,,88,0,25,24.4,23.3,158,18.39833333,3,45,5,20,9.8,
11410,Villalier,980,125.97,541355,20300,93.7,5,38.8,17,32.2,123,2.795,3,15,4.8,15.7,12.6,0.75
